index,event,NClus,foundZ,trueZ,centrality
1228,1228,2090,8,8.46642
1233,1233,3996,-15.2,-16.6797
1237,1237,1935,3,3.084
1238,1238,6082,-18.8,-19.3013
1239,1239,5759,-12.2,-12.4472
1240,1240,1789,0.8,0.92917
1241,1241,86,-16.6,-17.414
1242,1242,249,-10.8,-10.415
1243,1243,289,3.6,3.94111
1246,1246,4035,2.4,2.63221
1249,1249,4889,-12.6,-12.8302
1250,1250,4244,-21.2,-22.1472
1252,1252,0,0,-4.04094
1253,1253,5,0,-8.90366
1257,1257,186,7,7.32716
1260,1260,671,4.8,4.88791
1261,1261,6786,2,2.31567
1262,1262,6910,-5.4,-5.34693
1263,1263,4,0,-4.27021
1265,1265,728,7.4,7.9967
1269,1269,637,-8.6,-10.1175
1270,1270,27,-5,-4.87997
1272,1272,46,-28.6,-30.877
1274,1274,51,-7,-9.60514
1275,1275,2936,-3.2,-3.74339
1276,1276,536,-5.4,-5.67242
1277,1277,0,0,-7.88641
1278,1278,4159,2.6,2.91841
1279,1279,2792,-11.8,-12.4843
1280,1280,15,0.4,-0.925377
1282,1282,7129,-1.4,-1.18253
1286,1286,1283,-13.8,-15.4648
1288,1288,522,9.2,8.73384
1289,1289,3837,-8.8,-9.91949
1291,1291,2029,-12.2,-13.2342
1292,1292,6269,5.8,6.61272
1293,1293,2519,-13.6,-14.5919
1294,1294,984,-3.4,-2.99133
1295,1295,10,0,-3.65622
1297,1297,17,0,-4.92261
1300,1300,324,4.2,3.79921
1301,1301,2720,-9.8,-10.2901
1302,1302,61,-29.6,-27.8918
1303,1303,5239,-1.2,-1.02876
1304,1304,1932,6.8,7.46664
1307,1307,3686,12.8,13.3281
1312,1312,1,0,-13.3642
1313,1313,1458,-3.2,-3.26913
1316,1316,3389,2.4,2.80198
1317,1317,433,2.8,2.76244
1318,1318,6320,3.8,4.23214
1319,1319,672,7.2,7.06206
1322,1322,153,-7.6,-8.01585
1323,1323,536,1.8,1.56626
1325,1325,3180,5.4,5.58454
1326,1326,1916,11.2,11.3388
1327,1327,2,0,14.2193
1328,1328,5560,-8.2,-8.41647
1329,1329,6258,-13.8,-13.9809
1331,1331,376,-33.2,0.381164
1332,1332,501,-14.6,-14.6524
1333,1333,3648,0.2,0.0974107
1336,1336,3530,15.8,17.1312
1339,1339,2984,-8.6,-9.45483
1341,1341,2473,13.6,14.2763
1344,1344,1715,-14.6,-16.0197
1348,1348,133,-2,-1.57873
1350,1350,3541,-7.4,-8.19023
1351,1351,651,-1.6,-1.9166
1353,1353,5141,4.2,4.1526
1355,1355,71,-10.2,-11.3273
1357,1357,2904,2.2,2.11664
1360,1360,77,8.4,8.79436
1362,1362,1266,5.6,5.62414
1364,1364,4598,13.2,13.8401
1365,1365,0,0,-34.1722
1366,1366,1882,-22.4,-23.6313
1367,1367,19,13.4,14.2168
1368,1368,112,0.4,1.63448
1369,1369,4409,7.4,7.92492
1371,1371,137,0.4,-0.703036
1372,1372,4774,8.4,8.90038
1373,1373,776,-2.8,-2.74598
1374,1374,2544,-3.8,-4.06465
1375,1375,1450,-6,-6.59033
1377,1377,73,-16.4,-18.1716
1379,1379,2736,-11.8,-12.3457
1380,1380,619,-0.2,0.28218
1381,1381,33,-16.4,-17.5348
1385,1385,2208,6.8,6.71006
1389,1389,3141,-11,-11.3987
1391,1391,3260,-0.4,-0.75476
1392,1392,4363,-0.4,-0.465481
1393,1393,645,-6.6,-7.03251
1396,1396,329,-1.6,-2.11295
1398,1398,2702,-14.8,-15.3472
1399,1399,20,1.6,-3.68993
1400,1400,713,-0.4,-0.109458
1401,1401,324,9.2,10.309
1402,1402,648,8.4,8.12584
1403,1403,2306,-6.8,-7.12001
1404,1404,1649,4.2,4.07387
1405,1405,2586,10.4,11.1933
1410,1410,2278,-6.2,-6.6755
1411,1411,1695,9.8,9.87424
1412,1412,11,16.8,16.5663
1413,1413,5175,2,2.42241
1414,1414,394,2.2,3.30558
