index,event,NClus,foundZ,MBDZ,calculated_centrality,MBD_charge_sum
21931,1931,679,1.6,1.66146,0.490763,275.802
21932,1932,215,2.6,3.34796,0.758286,52.9423
21935,1935,97,-13.8,-13.8563,0.707998,77.5942
21937,1937,218,-12.2,-12.5061,0.817226,34.1747
21938,1938,52,9.4,6.68064,0.848012,27.8923
21940,1940,537,-10,-11.3105,0.574951,183.347
21945,1945,99,-2.4,-2.74253,0.866583,22.9396
21946,1946,5770,9.4,10.3641,0.0632253,1356.61
21950,1950,6055,-13.6,-14.2169,0.0109469,1619.52
21954,1954,48,-3,-3.3156,0.740389,62.3119
21958,1958,938,-5.8,-5.99682,0.459511,319.923
21959,1959,2126,7.2,7.75057,0.300188,611.521
21961,1961,2004,1.6,1.24929,0.305469,600.094
21965,1965,1173,-3.6,-3.74752,0.422497,382.707
21966,1966,2184,-19,-19.5697,0.291568,632.835
21967,1967,4799,-17.6,-18.1977,0.0632253,1354.91
21968,1968,1465,8.4,9.45953,0.451646,333.914
21969,1969,3143,-11.2,-11.2008,0.185663,907.803
21970,1970,3665,-0.6,-0.26389,0.187991,900.305
21972,1972,1144,7.6,7.6844,0.401037,417.324
21973,1973,112,-11.6,-12.0702,0.790501,41.955
21974,1974,49,-16.6,-17.2393,0.848012,27.4597
21975,1975,656,0.2,-0.140996,0.600103,156.331
21981,1981,4043,12.8,13.2791,0.134251,1077.29
21982,1982,718,-4,-4.81863,0.473379,301.385
21989,1989,2733,2.6,3.34515,0.232757,777.259
21990,1990,3284,4,4.02625,0.136434,1067.31
21993,1993,194,7.4,9.07879,0.68145,93.7084
21995,1995,2217,-25.4,-27.2144,0.206722,846.768
21996,1996,138,-2.6,-3.10714,0.831945,28.845
21999,1999,98,4.6,6.4304,0.701,82.9213
22001,2001,4562,-10.4,-11.2557,0.148023,1028.92
22003,2003,224,-18.4,-20.4321,0.701,80.3125
22004,2004,624,-1,-0.896782,0.604501,154.871
22005,2005,44,1.08247e-15,-0.690645,0.91021,14.6395
22006,2006,51,-31.8,-37.6729,0.715478,75.1206
22010,2010,1690,-1,-1.58123,0.352354,504.865
22011,2011,196,-2.6,-4.38069,0.731866,64.3678
22012,2012,3635,0.4,0.577448,0.164058,976.104
22015,2015,5899,-9.4,-9.34127,0.0447505,1436.32
22017,2017,15,-10.8,-7.58384,0.91021,14.4792
22019,2019,52,-2.6,-1.8264,0.803246,36.2948
22023,2023,0,0,-6.07975,0.431598,366
22024,2024,43,3.8,3.61401,0.790501,43.5504
22025,2025,2087,8.4,9.14302,0.328582,552.923
22026,2026,180,-10.4,-5.09484,0.817226,35.2643
22028,2028,1507,9.8,9.84499,0.350315,510.919
22029,2029,0,0,-1.85166,1,3.30125
22030,2030,438,5.2,5.66485,0.541805,215.574
22031,2031,1707,-5.8,-6.01634,0.386928,439.785
22032,2032,5631,-10,-10.1804,0.0811865,1274.59
22033,2033,2973,4.2,4.83836,0.231409,780.109
22034,2034,287,1.4,1.35482,0.664098,107.119
22035,2035,2424,1,1.14976,0.342354,524.784
22036,2036,1139,-12.8,-12.9511,0.413155,398.291
22040,2040,5561,-8.8,-9.29669,0.0842362,1261.92
22041,2041,6128,-3.4,-3.31875,0.0432738,1441.75
22042,2042,268,-14,-14.256,0.707998,76.6704
22045,2045,362,-2.4,-3.38364,0.701,83.6416
22046,2046,0,0,-19.2562,1,1.68405
22049,2049,35,-2.8,-0.675888,0.91021,14.6648
22052,2052,6084,-2,-1.92934,0.0465964,1428.7
22053,2053,1963,-1.6,-1.73112,0.332226,546.311
22055,2055,695,-19.8,-20.7953,0.446558,342.397
22058,2058,173,-7.8,-9.54507,0.803246,36.2015
22059,2059,3173,-4.8,-4.82458,0.176305,936.92
22060,2060,2526,-6.8,-7.60068,0.269723,683.95
22063,2063,3023,-3,-3.14665,0.18332,916.012
22066,2066,48,-15.8,-15.0977,1,3.21829
22068,2068,2274,2.4,2.54656,0.324345,560.805
22069,2069,3364,-18.6,-19.4721,0.192437,888.993
22070,2070,4085,-22.2,-23.9578,0.104653,1182.83
22071,2071,547,-16.4,-17.6385,0.534181,224.197
22072,2072,2964,-0.6,-1.01181,0.218167,815.321
22074,2074,13,0,-13.5405,0.888188,19.002
22075,2075,471,-11.2,-12.3469,0.587117,168.635
22077,2077,130,-9.2,-10.1557,0.790501,40.1584
22078,2078,4380,3.8,4.33619,0.125295,1107.55
22080,2080,2358,5,5.28869,0.32664,557.067
22081,2081,1974,-10.6,-11.475,0.294811,625.331
22083,2083,58,0.8,-1.59292,0.91021,14.4253
22084,2084,1586,-2.6,-2.99266,0.429271,369.869
22085,2085,3438,-9.6,-10.4313,0.223367,798.539
22086,2086,19,-11,-29.5404,0.848012,27.166
22091,2091,1989,-6,-7.12023,0.338149,533.212
22092,2092,2,0,6.1468,0.965137,5.16061
22093,2093,1017,5.2,5.17063,0.446558,339.912
22095,2095,5084,-13.6,-14.2732,0.0720695,1315.35
22099,2099,3995,4,4.38867,0.0951189,1219.15
22101,2101,476,-3.8,-2.88843,0.578931,179.255
22103,2103,250,5.4,4.70386,0.647181,118.771
22104,2104,0,0,2.15429,1,2.33138
22105,2105,267,2.4,1.91255,0.636956,126.699
22106,2106,3366,-5.8,-6.3267,0.205213,852.225
22109,2109,2779,-10.2,-10.8398,0.266336,692.791
22110,2110,2783,-2.2,-2.43716,0.334104,540.708
22111,2111,422,-17.8,-18.4235,0.538274,220.028
22112,2112,1,0,-6.89639,1,3.6991
22113,2113,5,0,13.6439,0.91021,13.748
22114,2114,725,4.2,5.33168,0.519703,242.029
22115,2115,2814,1.8,1.57573,0.226786,790.579
22116,2116,25,-2,-3.7334,0.91021,15.8719
22117,2117,1,0,-14.3148,0.803246,39.902
22122,2122,2061,-6.4,-7.08351,0.28648,644.811
22123,2123,567,-22.8,-25.057,0.595801,161.062
22125,2125,638,-13.6,-14.8584,0.448901,339.074
22129,2129,1001,-8.8,-9.10177,0.459511,321.854
22130,2130,1269,-8.8,-9.40091,0.456975,326.115
22131,2131,338,-15.6,-16.7626,0.658432,110.334
22134,2134,1037,3.6,2.85265,0.422497,380.841
22135,2135,3469,4.2,4.18249,0.140222,1057.8
22137,2137,2421,8,8.18263,0.282981,651.598
22138,2138,2524,-20.4,-21.5711,0.220815,808.536
22139,2139,495,-8,-8.87971,0.566925,189.055
22140,2140,6003,10.8,11.5961,0.0441566,1438.58
22141,2141,2577,-3,-2.99505,0.330476,547.036
22142,2142,3052,-9.6,-10.2233,0.194973,882.114
22143,2143,738,-0.6,-1.13221,0.541805,216.94
22144,2144,4204,-6.6,-7.1607,0.159002,990.656
22149,2149,3014,-0.6,-0.609879,0.225197,798.013
22150,2150,1316,-0.6,-0.0464255,0.422497,380.867
22152,2152,1451,-7,-7.45474,0.427184,373.772
22154,2154,2335,-0.6,-0.836449,0.261328,704.064
22156,2156,11,0,-4.66233,0.935539,11.479
22158,2158,9,1.4,7.2037,0.965137,4.25449
22159,2159,655,-13.4,-14.6915,0.578931,175.732
22162,2162,392,-3.6,-2.76703,0.595801,161.462
22163,2163,580,-15,-15.7333,0.563169,192.571
22164,2164,2136,-12.2,-12.7748,0.303703,606.209
