index,event,NClus,foundZ,trueZ,chargeSum,centrality
8693,8693,21,nan,-11.1347,2.52512,nan
8699,8699,581,nan,6.75444,210.31,nan
8700,8700,1602,nan,-6.91917,465.441,nan
8701,8701,1366,nan,-2.42802,507.132,nan
8702,8702,3020,nan,1.69118,849.356,nan
8703,8703,13,nan,-15.4915,11.6493,nan
8705,8705,7037,nan,-3.99235,1591.95,nan
8708,8708,3920,nan,-8.56655,930.147,nan
8709,8709,28,nan,-15.9746,4.19342,nan
8710,8710,4171,nan,-1.18943,1021.17,nan
8711,8711,43,nan,-8.5464,12.5254,nan
8713,8713,298,nan,-17.1161,104.186,nan
8715,8715,4693,nan,5.46606,1131.15,nan
8716,8716,364,nan,-20.7434,172.925,nan
8718,8718,1309,nan,-0.827136,401.524,nan
8719,8719,0,nan,15.4939,0.976088,nan
8720,8720,252,nan,-19.7575,84.1417,nan
8723,8723,447,nan,0.285023,164.002,nan
8724,8724,2065,nan,9.1989,633.63,nan
8726,8726,17,nan,18.856,5.83585,nan
8728,8728,2392,nan,-1.75421,655.324,nan
8729,8729,1007,nan,-4.08197,320.797,nan
8733,8733,12,nan,-0.167733,1.75418,nan
8734,8734,921,nan,0.446194,312.327,nan
8735,8735,4153,nan,2.86049,1132.66,nan
8740,8740,1531,nan,-10.0833,506.313,nan
8741,8741,4602,nan,2.51851,1112.28,nan
8746,8746,540,nan,-9.76339,128.599,nan
8749,8749,3499,nan,-2.51927,837.109,nan
8751,8751,566,nan,-9.80862,211.489,nan
8753,8753,1557,nan,-10.2503,417.173,nan
8754,8754,182,nan,11.3281,107.756,nan
8756,8756,4202,nan,3.03991,1121.72,nan
8761,8761,2232,nan,6.14836,595.81,nan
8762,8762,10,nan,-16.8897,13.9852,nan
8764,8764,112,nan,12.4299,48.2437,nan
8767,8767,0,nan,0.580922,2.23304,nan
8768,8768,174,nan,-0.945572,57.4733,nan
8769,8769,35,nan,-2.75305,20.2732,nan
8772,8772,5726,nan,-3.26305,1813.86,nan
8773,8773,103,nan,-1.36097,67.5211,nan
8774,8774,485,nan,-7.6583,143.952,nan
8781,8781,227,nan,-3.22078,60.5219,nan
8782,8782,3596,nan,-15.2679,938.151,nan
8784,8784,561,nan,-9.76347,306.181,nan
8786,8786,3642,nan,-7.53895,953.059,nan
8787,8787,383,nan,-0.049801,99.5829,nan
8788,8788,1916,nan,-14.2038,519.356,nan
8789,8789,3,nan,-7.16479,12.8269,nan
8792,8792,5541,nan,9.20052,1308.48,nan
8793,8793,189,nan,-19.6485,39.7255,nan
8794,8794,113,nan,-9.52513,92.3365,nan
8795,8795,110,nan,-16.5354,83.9992,nan
8796,8796,183,nan,0.145597,38.5662,nan
8797,8797,1369,nan,-18.4329,333.801,nan
8798,8798,3,nan,1.83371,3.10346,nan
8799,8799,4560,nan,-4.85664,1031.95,nan
8803,8803,777,nan,14.0051,306.385,nan
8804,8804,84,nan,-11.9313,40.9742,nan
8806,8806,2654,nan,-12.1593,822.471,nan
8807,8807,5745,nan,-2.73852,1391.81,nan
8808,8808,157,nan,5.9361,34.4121,nan
8810,8810,378,nan,-17.9189,136.011,nan
8811,8811,163,nan,-33.4598,87.3706,nan
8812,8812,913,nan,-9.06053,249.458,nan
8813,8813,1456,nan,-6.08317,478.246,nan
8814,8814,1108,nan,-9.04464,305.298,nan
8819,8819,517,nan,-2.35687,131.994,nan
8821,8821,6,nan,22.5515,2.42387,nan
8824,8824,1429,nan,-12.6119,551.766,nan
8825,8825,2498,nan,-0.355937,561.428,nan
8827,8827,439,nan,3.53659,117.98,nan
8828,8828,0,nan,-15.9408,6.359,nan
8832,8832,204,nan,-9.86166,47.6903,nan
8836,8836,3837,nan,-19.0726,1089.49,nan
8837,8837,4191,nan,-7.26781,1072.11,nan
8838,8838,715,nan,-10.9651,203.212,nan
8839,8839,1526,nan,-10.0738,443.688,nan
8840,8840,1174,nan,-7.78517,408.809,nan
8841,8841,192,nan,-2.89271,49.7179,nan
8842,8842,43,nan,-15.7666,59.997,nan
8843,8843,634,nan,-7.16696,243.567,nan
8844,8844,1249,nan,-10.9134,328.428,nan
8845,8845,2055,nan,3.66512,603.518,nan
8847,8847,176,nan,-4.87465,106.474,nan
8848,8848,397,nan,-34.4267,213.994,nan
8849,8849,92,nan,13.0478,37.1198,nan
8852,8852,31,nan,0.474215,11.5696,nan
8853,8853,1589,nan,11.4839,439.511,nan
8854,8854,4086,nan,1.11033,1018.28,nan
8855,8855,4732,nan,12.5642,1439.93,nan
8858,8858,51,nan,5.36643,4.72646,nan
